"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Brain and Other Nervous System","31010-31040","Colorado","08","60-64 years ","60-64",688
,"Brain and Other Nervous System","31010-31040","Colorado","08","65-69 years","65-69",675
,"Brain and Other Nervous System","31010-31040","Colorado","08","70-74 years","70-74",591
,"Brain and Other Nervous System","31010-31040","Colorado","08","75-79 years","75-79",503
,"Brain and Other Nervous System","31010-31040","Colorado","08","80-84 years","80-84",350
,"Brain and Other Nervous System","31010-31040","Colorado","08","85+ years","85+",327
,"Brain and Other Nervous System","31010-31040","Connecticut","09","1-4 years","1-4",21
,"Brain and Other Nervous System","31010-31040","Connecticut","09","5-9 years","5-9",49
,"Brain and Other Nervous System","31010-31040","Connecticut","09","10-14 years","10-14",26
,"Brain and Other Nervous System","31010-31040","Connecticut","09","15-19 years","15-19",20
,"Brain and Other Nervous System","31010-31040","Connecticut","09","20-24 years","20-24",25
,"Brain and Other Nervous System","31010-31040","Connecticut","09","25-29 years","25-29",35
,"Brain and Other Nervous System","31010-31040","Connecticut","09","30-34 years","30-34",57
,"Brain and Other Nervous System","31010-31040","Connecticut","09","35-39 years","35-39",89
,"Brain and Other Nervous System","31010-31040","Connecticut","09","40-44 years","40-44",151
,"Brain and Other Nervous System","31010-31040","Connecticut","09","45-49 years","45-49",194
,"Brain and Other Nervous System","31010-31040","Connecticut","09","50-54 years","50-54",292
,"Brain and Other Nervous System","31010-31040","Connecticut","09","55-59 years","55-59",432
,"Brain and Other Nervous System","31010-31040","Connecticut","09","60-64 years ","60-64",498
,"Brain and Other Nervous System","31010-31040","Connecticut","09","65-69 years","65-69",478
,"Brain and Other Nervous System","31010-31040","Connecticut","09","70-74 years","70-74",506
,"Brain and Other Nervous System","31010-31040","Connecticut","09","75-79 years","75-79",458
,"Brain and Other Nervous System","31010-31040","Connecticut","09","80-84 years","80-84",398
,"Brain and Other Nervous System","31010-31040","Connecticut","09","85+ years","85+",342
,"Brain and Other Nervous System","31010-31040","Delaware","10","30-34 years","30-34",20
